V160001,V161078 - PRE: What is it that R dislikes about Republican Pres cand
300406,He's not real. I wont vote for him because he is not real.//He just makes ridiculous statements. Ourrageoius statements.//
300408,someties talks without thinking changes opinion//
300423,
300424,Dont trust him.The way and the way he acts.//
300434,
300437,"temperpemant; he did not help his case there, his poor reation between business and government, his thinking that will work aas well as it does, he  is unsure about that, worried about him starting a war, an unnecessarly one\\"
300448,
300450,very racist
300453,his communications skills//
300454,He is already rich/ arrogant/ not taking it serious
300456,"HES TRASH, I DON'T TRUST HIM//"
300458,he is very negagtive he doesngt say anything positive// this is why I dont follow//he is giving jobs to othefr countries rally?? I know is a choice if you want to work but...
300460,"Don't think he is honest, no respect for woman, don't pay people, he ingnort//"
300465,
300467,he has made some statements that show poor character and i'm concerned that overall I feel like his policies are more important than some of his graffs and careless statements/
300473,mexicn issue
300475,"His public speaking and conduct//I agree with some of his policies, but he's not anything close to what a president should be"
300477,he's a maniacal moron/
300482,"Everything seems like a bad answer, but, I'd say everything. // his views just don't line up with mine. //"
300488,"not paid much attention. I did when igt first started. He kind of rubs me the wrong way and it's just all promises but I still haven't seen a president keep any promises, they always turn  everything around//"
300493,
300495,Everything.  He is a thief what he is.  He had made a lots of money.  I lived in NY & every hard working person in NY hates Trump.  Only rich people like him.  He has put more people out of work than anyone.  I think the man is nuts.
300497,He's making a border bigger //
300499,"His overall viewpoints toward women, idmmigration and basic civil liberties, gay marriage. I feell like i dont support much except for his financial sucess. Human rights side of things.//"
300500,
300501,his language//
300503,
300504,"I don't like how he handles himself in public, I don't think that's how a president should be. His actions, how he treats people, Obviously as a woman if all that stuff is true it's ludicrous. //"
300517,
300518,His pride.\\
300522,"he is a bit of a I guess he is not a humble person his lack of , how will hecome cross in foreign policy and his lack ofhumility he doesn't think before he stills his foot in his mouth, he is better than hiliary//"
300526,his lack of political savy and he might be too unpredictable//hes crazy//
300534,"I just dont think he is political savy, he has zero experience,"
300540,"HE'S A DICTATOR, I'M FROM EAST AFRICA, I'VE HEARD THAT BEFORE//"
300541,//
300542,I think he is a racist.  Basically he has a very small window of what American looks like.  I don't think he understands what he is getting himself into.  He doesn't understand what the Constitution means.  He says he is going to do things that the Constitution won't stand.  I think he is only concerned about the rich white folks.//
300543,dishonesty//
300545,"Most everything. His opiion of women and minorities, his lying and blustering, and uh, the way the press gives him a pass on everything. All make me definitely want to vote against him. And childish. I can't say enough negative about him. // that seems like plenty. Big no."
300546,he's not temprenentally suited//he's unknowledgeable about foriengn affairs//he's too narcassistic//he does not take guaidance from other people//hes immoral in his business practices//asshole//
300547,
300549,EVERYTHING //
300552,I wasn't too happy with him when he was attacking groups of people.//
300554,fact the he is a sexual predator/no experience in fioriegn policy/he makes claims about his candicy that cant be supported by fact/his views on diversity/
300555,some of the off the cuff comments he makes//
300558,"the human bigotry the sugestions of war crime, he is ranked internationaly one of the greatest terroist to the world// he has zero political experience// masaganist, the sugestions to ban imigartion to ban the wall here in mexico, his political consists of adhamadine, his personal attacks that have nothing to do with politics// he is arrogany, smug, he is a fear mongeer, a demagog, and i dont really believe he is all that intellagent, he lies insesently, he makes acusation with out any evendenua basis, and in general there is not one thing that I like about him"
300559,"doesnt watch what he says sometimes. i think Obama is a weak leader, countries are laughing at us//Obama hasscrewed it up for any other black person being president. His second term is bid downhill slide"
300561,lack of respect of people//make a horrible president
300565,"HIS PERSONALITY HIS BRASHNESS AND BULLINESS AND HIS RECENT ALLEGATIONS NOT BEEN PROVEN THEY WOULD IMPACT ME MORE STRONGLY IF THERE WERE OTHER OPTIONS FOR VOTING, HIS IMPULSIVE BEHAVIOR AT TIMES AND HIS ABRASIVENESS TO DIFFERENT PEOPLE, HIS BEHAVIOR IS N OT WHAT I WOULD CALL MODEL BEJHAVIOR FOR A CANDIDATE//"
300566,he is a racist if he wins we will have a problem with the immigrants and kill the immigrants. They way he talks he seems like he isnt a real professional.//
300569,Donald Trump is not a disciplan thinker and he can be reckless and seems often luck uhm integrity//
300571,
300572,"He is inmuture, he acts before he thinks//"
300574,
300575,
300578,
300581,"He is rude, for one. He is mean. I can't get past the rude and mean to even get past to what political knowledge and structure for the country would be. I don't know what that would be.//He is just so mean. I can't get past. he may be a smart man as being an entrepreneur and self made billionaire but that doesn't mean he can run the country.//I'm scared he is going to get us all blowed up if you want to know the truth about it.//He is just not very nice. Not presidential. If you have an opponent, there should be respect for individuals. No respect for family, children and spouse of the other opponents.//"
300583,"Lack of experience; // um, his view of women. I believe he's a racist. So those would be the top things that come to mind.//"
300586,"He has no experience in international politics, hes rildiculous, statements are constantly changing he is biased, I think he is not a good leader"
300587,"ople He is a racist he hates othe races, expecially he saying a lot bad thing about mexicans people he insults mexican people saying that they come to kill protitution steal and all those things he said.and general he hates mexicans, all latin people, I think he doesnt like african americans he is racist he just supports people like him low life. and he should nt be a president anywhere. I dont want him to be president. I wil un happy all my life if he gets the presidency because he will reuien this country."
300589,
300597,He is prejudice and seem to be very divisive to the country and not inclusive.  While he does have a business background there are a lot not negative than positives.//It is disturbing that the Russian leader want him to be elected.  I don't know that his disposition is good for the country.  You can't throw a tantrum and have a problem fixed or go away.//
300600,no very diplomatic frigtens me hiw he would act against oher countries// he is rude//
300601,
300603,
300605,THE PETTY REDICULAR// THE NAME CALLING HE CAN BE ABOVE THAT// THE BAD MOOUTHING PEOPLE// THAT HOOW HE IS // ITS WHAT YOU GET//
300609,He is like two different people.//  He was kind of like a loudmouth at the podium.//  I didn't like the way he spoke against someone that had been trotured.//
300610,Everything. Well I think he's a moron and because he's rich he must be successful and something and pay taxes. And also I mean I guess he is a reencarnation of Hitler. He wants to get6 rid of Mexicans Blacks arabs.  Well I just hate him.If I was close to him and if I had a dozen eggs I would egg him. I would just say Youre not presidential material not at all.\\
300611,"Just the way that, from the advertisements I've seen on tv where he's says bad things such as I don't give a BLANK, that's not right. We don't want people like that. That's it."
300612,He is a better businessman than he is a politician. For the most part he would have a better chance of helping the economic problems in a business stand point than he would helping international conflict.\\
300614,I DONT LIKE THE WAY HE SAYS SOMETHINGS// HE S KINDA OF MEAN//
300617,thinks he is jerk/sexist/rascist/lot of reasons
300620,He's against important issues//
300621,
300622,I dont trust that he is sane or values reason or mercy or compassion. Those are things I believe the leader of sa coountry needs to understand.//
300628,if he changes his platform and then yes
300629,talks to much//run his mouth too much
300632,"hE IS RACIST, ISNT HE?, HE DOESNT HAVE LEADERSHIP SKILLS, BEHAVIOR IS CHILDISH//"
300633,HIS LACK OF KNOWLEDGE ON SEVEAL KEY TOPICS REGARDING NATIONAL AND FOREIGN POLICY//
300634,his arrogance
300636,He's a hard personality to like. Socially. //
300637,"Racist, Liar, and he is not a leader, he doesnt know what to do//"
300638,"transperencey, trustworthiness, inexperience// character, realtability, volitility, unpredictability"
300641,his bigotry
300642,"HIS MOUTH//I THINK HE IS HIDING SOETHING//HE IS RUNNING EVERYONE ELSE DOWN, BUT DOESN'T WANT TO REVEAL ANYTHING ABOUT HIM//I THINK HE IS GOING TO GET US INTO WAR//"
300644,"I guess he sometimes p-uts his foot i9n his mouth. Instead of talking about issues, he goues away from that which is kind of scary.\\"
300655,"Yes, his lack of understanding of politics and government. Racism, sexism, just inappropriate comments he has made.//That's all."
300656,I heard last niht about him and some young men convicted about raping a young girl and he was very dogmatic about it. When they were exonerated he did not apologize//
300657,Everything.//Mostly his retoric.//His attitude toward women and his politics.// Business practices that are unethical.//
300658,There are a lot of allegations out there about him womanizing. Those are of concern //He seems to have a habit of saying things without thinking about them first. That is a little disconcerting to me. //
300660,
300663,
300674,"He's a blowhard, he talks through his backside//he's got no experience at all he's just got a lot of money//no experience//"
300675,His arrogance.  The fact that he is a businessman because it seems its more about money than actually making America great again.
300676,Just the way he has been portraying himself//
300677,He doesn't know anything. //
300679,"my heritage he talks alot i think he is racist, he goes more higher class than middle class"
300680,
300687,
300693,Everything. He just curses.I dont think he has respect.He barely respects women.Something about the immigrants that he was saying. He would not allow them to come.//
300694,"everything, I feel very strongly that this man is not welll adjusted to his own life, I feel very strongly that he needs a good deal of pshchiatry to make his vision of the world more realistic, I really think he's quite mad- certifiably insane, I'm extreemly concerned for the future of our nation in the hands of such a person extreemly concerned// I am"
300695,"He's a Hothead. He doesn't think rationally. I think he's a MORON, honestly. All the hesd to heads with Hillary. Hes a Blowhard and all that wanting to build a wall stuff. I don't think he gets all the issues facing Americans and what we need.//"
300696,he is rough around the edges
300699,The things he says//
300702,"I question is attitude toward women,"
300703,"his scandles, his personality"
300704,"LACK OF EXPERIENCE, MORALS, CHARACTER, HIS POLICIES"
300705,
300706,I have not decided yet if he has enough of the background with foreign policy to lead this countrry. I like that he wants to get along with Russia. I am not sure he has enough diplomacy to get along with foreing governments to understand it.//
300709,
300711,He's talked reckless about the misuse of nuclears warhead....that's what gets my attention...I don't know if he's the right guy to get the launch codes//
300717,HIS VIEWS ON GAY MARRIAGE AND ABORTION\\
300719,He a liar and a thief and he doesnt know anything about politics. He went bankrupt 3x times and cut the middle man out.//
300721,
300723,
300724,"a bit reactionary,volatile"
300726,"I just dont like the things he says about people the way he treats wommen, his cockieness, he doesnt seem to have much concern for other peoples feelings//"
300727,he was fighting to hard trying to get  head of hillary
300731,
300732,his attitude
300734,"inexperience, crashness"
300735,his brash truthfullness//
300736,"He wants to become president juct to help himself, he's unprepared to become the leader of greatest country in the world, he made his money through the money his father gave him, Trump University is a scam, he doesnt care about the USA, doesn't have family values, been divorced three times//"
300739,everything about hiim//just dont agree with his politiclal stance//
300740,the things he says about hispanics thats why i sometimes think  theyre al the same
300743,HE HAS FASHIOUS TENDENSITS//HE IS A LIER HE IS A SERIAL LIER //I WILL SAID 90 PERCENT WHAT HE SAID IS A LIER//I THING CALLING A MAN A FASHIUS HE IS LIKE A DICTATOR// HE IS NOT MENTALY FIT TO BE A PRESIDENT HE IS A VERY VERY DANGEROUS MAN TO HAVE AS A PRESIDENT HISPANICS PEOPLE HE HAS NO RESPECT BLACK PEOPLE HE HAS NO RESPECT FOR SO HE HAS NO RESPECT FOR ME// REPUBLICAN PARTY ARE RESPONSIBLE FOR PUTTIN THIS MAN TO RUN AGAINST HILLARY MY WIFE AND I HAVE CROSSED AND VOTE FOR DEMOCRAT AND REPUBLICAN IF WE KNOW THE MAN IS GOOD// MOST SPECIALLY THE WAY HE TALKS ABOUT WOMEN ABOUT THE PEOPLE HOW TALK TO MEXICAN PEOPLE// MEXICO IS IN THE BORDER PEOPLE HAS COME CROSS WORK AND GO HOME// IF WE DON'T HAVE THE MEXICANS WE DON'T HAVE THE PEOPLE TO RUN THE CROPS// I HAVE A GRANDSON THAT PEOPLE TAKE CARE OF HIM AND TEACH HIM THEY ARE GOOD PEOPLE// IT WILL BE THE SAME IF THEY ARE BLACK KIDS IT WILL BE NO DIFFERENT// IF WE HAVE THE RIGHT TO TAKE THE MEXICAN BOYS TO THE MILITARY TO GET KILL THEY HAVE THE RIGHT TO VOTE.........
300745,"Think he is too brash, not over qualified for the position//"
300747,
300749,i just told you everything.\\
300750,"his ego, too much ego\\"
300751,I feel that he will not be a good representative for the U.S.A He is going to abuse his power in the wrong way for this country
300753,
300757,his hair//
300759,
300766,Don't never tell the truth says one thing and says the oposite the next time. too much criticsism of opponent
300768,someti mes he says stupid things - he does not think before he says things -he can be radical it makes me nervous a little -
300769,
300770,
300774,
300775,"his mouth he over loads his mouth and he argues about unimportant things,that twitter//"
300779,no
300780,
300784,attitude
300785,
300789,his complete of utter lack of understanding of political processes and international needs
300790,dont trust him with the tiigger he is crazy nuts he will create choas/
300792,"HE IS A NARCISSIT, MYSOGNOISTIC, A LOOSE CANNON I WORRY THAT HE WONT BE ABLE TO LEAD THE COUNTRY WITH EXPERIENCE WITH RESPECT AND WONT HAVE RESPECT OF OTHER WORLD LEADERS AND DIMINISH THE POWER OF THE WORLD LEADERS AND CAN NOT BE TRUSTED TO FOLLOW A SCRIPT AND BE PRESIDENTIAL.  NO INTERGRITY.  HE MIGHT SURROUND HIMSELF WITH GOOD PEOPLE I THINK HE IS A JOKE THAT THIS WAS A BUCKET LIST CHECKOFF"
300795,His presentation//Yikes so much//his anger level is frightening//
300796,everything//he does not disclose his tax returns he gives donations from his foundations for illegal purposes find inappropiate knowledge of world events are inaccurate i find his business dealings atrocias about four bankrucptcy and leaving the litter man on wayside more negative than plus
300798,"temperment,empathy,lack of experience"
300799,"HES AN IDIOT//I DONT THINK HES WELL INFORMED ABUT THE TOPICS HE TENDS TO BE INFLAMATORY,  HE IS NOT THE ONE I WOULD WANT RUNNING THE UNITED STATES HE PREYS ON PEOPLES FEARS//"
300807,Attitude//persomnality//does not appear presdiental does not express self well//
300808,
300812,"I  DON'T THINK HE WOULD WORK WITH A GROUP ON BETTER HEALTH CARE, THER AGAIN, HE OWULD ONLY DO WHAT HE WANTS. WHICH COULD BE ANOTHER HEALTH DISASTER."
300813,his mouth
300816,his comments and policy on taxes and him as an individual in general\\
300819,Everything.//I think he will lead us into WW3. I think he will set back womens rights to who knows when. He would be a terrible president and he has no political background.//
300820,just how brash he is. He might get us in trouble because of how he does things. he scares me about how he might do some things.
300821,"i think he's lying alo t. he promises thingss but he's not gonna come through. once he's there, he's not gonna remember his promises. \\"
300827,I THINK HE IS ARROGANT AND STUPID//
300831,
300833,PERSONALLY I THINK HE IS A SOCIOPATH//I HAVE SERIOUS DOUBTS ABOUT HIS FOREIGN POLICY ACUMEN//
300839,putting up a wall that seems counter intuitive to positive relations with other countries//his negativity toward immigration in general because the us is kind of a land of immigrants//
300847,Lack of experience; lack of knowledge of how politics work; what it takes to run a country; //
300850,
300853,"everything - those who support him, begatry, peer monitoring , no background in politics not qualified//"
300855,"his attitude personality, professlionalism"
300857,"he has no political experience. that man needs a filter on his mouth\\like that he wont release his taxes and hes not transparent\\the filter part pretty much covers it. i dont like the way he talks about women or treats him. he never answers question, he always talks in circles and never answers the questions and he isn't qualified"
300859,
300860,"his attitude toward women, his legal way of not paying taxes is unethical, his bragging about not paying taxes, his tempermanet,"
300864,
300869,"I don't like his quick temper but absolutely I will still vote for him, his language is not always nice, but will never change my opinion.//"
300872,
300873,
300874,Its just the way his speach and the way when he is on the stand a lot of the speach the things he says that I disagree with.//
300875,"Morals, business choices, ethics.  The biggest one I'd say is lack of knowledge. Racist. Mysogynist.  Viewpoint of women, he objectifies women.  Poor national role model.//"
300881,build a wall is not no good/too radical/wishy washy/comes today and tells you something and tomorrow he tellls you something different you don't know what to take//
300882,I don't think he knows how to work like a politician since he has no political experience. I don't think he understands politics and how politics work.//I just don't like sometimes his general attitude//No
300883,His lack of compassion//lack of trustworthiness//attitude toward women and minorities//greed
300885,"Uh, his lack of tolerance for diverse, the diversity in people. OUr diverse people , or people that live in our country. However you want to put those words together.//Um, my perception of him lacking in governmental experience.//"
300887,LACK OF SELF CONTROL
300890,
300893,
300895,"misogyny, liar,"
