V160001,V161072 - PRE: What is it that R dislikes about Democratic Pres cand
300196,"back thru her history has been in watergate and was fired, when she and bill were governor they had a lot of issues  awful long string of dead peope behind her all the way up to now for some unknown reason//her she has done some things at secretary of state that an awful a lot of people would be in prision for   i do not trust her and she just lies as far as i can see and skirts around the issues a lot"
300198,Specialiation about her email and false information//
300200,
300204,
300207,her concept on tax reform i don't like the fact that she going to tax the higher earners more and this will affect my [REDACTED RELATIVE] pay directly and big business. being a christian i have to choose the best candidate based on my moral confivictions based on that i will not support hillary. I do not support womens health because i don't believe in abortion//
300209,Her past issues when she was secretary of state//
300210,She lies.//
300212,
300215,
300217,untrustworthy with the emails and all of that\\ pro-choice\\
300222,Her husband.//No
300224,
300227,she does not seem trustworthy at times
300228,
300230,dont like let her husband chase ladies
300232,She doesn't know enough about politics - really//
300234,
300235,sketchy past
300237,"think she is involved in corporation and making money for herelf, she is fair//"
300238,
300240,I think she's fake/
300242,I simply don't trust her
300244,"I think that she is a hypocrie, I thin she is untrustworthy and I think she will do or say anything to get elected.//"
300245,
300246,Maybe just like the fact that they have caught her lying too many times.//The fact that she contradicts herself alot.//
300248,"HER POLICIES, SHE'S A CLONE OF THE ONE IN THEIR NOW, OBAMA//"
300250,PRETTY MUCH ANYTHING SHE STANDS FOR I'M AGAINST//
300252,"has issues dealing with abortion, she's for it.  Thats probably the only thing.  She just juggles things and has been caught in a few things, but I'm sure they all have their little secrets."
300254,Her second amendment stances.
300255,"Bengazi, the emails, it just seems she is always wanting to turn it around on Donald Trump.//"
300256,"liar, she didn't protect the people in Benghzi and she wont protect us either"
300259,she lies too much/if she could keep one story straight/can we get the truth out of her/didn't like her in the past not going to like her in the future/don't want her to be my [REDACTED RELATIVE]s boss
300261,Everything. //
300264,On her background. I dont like that she has medical issues. She such a total politicion and wants to speand so much money. We need to get out f our mammoth debt.
300267,She comes off as very corrupt and doesn't seem to know what she is doing. //
300269,the withheld information\\
300270,
300273,"THERE ARE NUMEROUS THINGS, I WOULD SAY INTEGRITY OR LACK OFF//"
300276,HE CRIMINAL RECORD.//
300278,"Her stance on abortion. Her stance on foreign policy and what's going on in the news of her lying about emails , her corruption I would say. She is not person that I would want to vote for.//NO"
300279,
300280,
300282,"i don't care for her stand on abortion, i was raised on coal country and i don't like her stand on that, first husband was a hunter, i don't like her stand on that\\"
300284,"Yeah she's a liar, and I think she has Alltimers I don't think she should be president//"
300289,"She cares more about the corporate structure in this country than the people who are not well off. I don't feel she is trying to help the middle class achieve a higher standard of living. She is not a protoganist for finding the way for the lower class and middle class to rise economically. I think she basically cares  more about the upper class. She cares about the lower and middle classes to maintain the status quo.//I don't think she is going to change the way things operate in this country. She won't enact anything that will enable middle class salaries to rise.//I think she wants to allow big businesses and corporartions to profit.//She's a career politician, she flip flops, she says what you want to hear. She's disingenious, phony.//I feel as if she bought the democratic election. That does not set well with me.//I don't like that she was involved with her husabnd's presidency. When they changed the mandatory minimums sentencing, I don't like that he was at the Poll Stations when people went to vote.//"
300297,I don't know if her age is an issue and she sometimes has a short temper//Her connection with wallstreet and the corporations//Sometimes taking matters on her own without counsulting with high officials//trustworthiness
300299,"gun policy, alleged crimes she has committed"
300303,Past actions.//
300304,everything  I don't trust her
300307,abortion issue//she is a liar//don't like her//don't trust//been in there 30 yrs and hasn't done much good//
300312,
300313,"She lies.  She has been lying eveyday about Wikileaks, she lies about her emails, she lied when her husband was President.//"
300317,
300322,"I THINK SHES A CROOK, A LIAR//"
300325,
300326,
300327,Tryting to take away all of our guns.
300333,"dont answer nothing hasnt done nothing liar, email,her foundation//"
300334,
300335,
300336,
300339,
300342,"I think she is a liar,"
300343,
300344,
300345,"I believe shes a liar, I believe she is owned by wall st, I believe she is corrupt,//I just dont like her//"
300352,"i  think it more like fraudulant, I guess you\s say\\"
300360,That she is in bed with the Saudis and she takes money from Muslim groups. //
300361,Scandals emails bengahzi// contradictions//
300363,"well I dont think shes honest I think shes self serving I think the foundation is a slush fund, they certainly enriched themselves when she was secretary of state, bengazi, they requested extra security over 600 times and she couldn't even bother returning email, blamed it on a video, how do you look people in the  eye and know that you are lying to them?//"
300364,//
300371,
300375,"took my job away from me, she can say on Tv I', shuttting all the coal mines down//"
300376,afraid we'd get into more wars//afriad of her supporting legislation like the tpp// and keystone pipeline//
300377,
300383,"shes a liar, i don;t like her at all"
300386,Lost emails. // I haven't been particularly happy with the way she's dealt with foreign policies. I think this could and should have been handled differently. //
300387,SHES NOT HONEST AND TRUSTWORTHY\\
300389,the email scandal has me a little worried. i am not sure how honest she is being.//
300393,"She's a crook.// She lies.  She's horrible to her staff, and I don't want Bill Clinton in the white house either.  They should both be in jail.//I just don't trust her.  I think she just says what people want to hear."
300398,
300400,bengazi email scandal I think she is an absoulute crimanal who pays to kill people//
300402,all the scandals they have been in //not a good secretary of state//[REDACTED DETAILS] in Bengazi//
300403,
300404,
300406,
300408,feel she is devious person evil//
300423,her ethical history//
300424,
300434,//too much media stuff about the email scandal
300437,"Bengazzi incident, just don't know about her, she seems much about the politician, heard it all before, i have an inclination that tha is all she is doing\\"
300448,lies//stuff that  she hides from us
300450,not truthful
300453,lock of trust//
300454,
300456,
300458,
300460,
300465,
300467,"I think she's been, I see shes been dishonest and her integrity is a problem. She's corrupt and I see the gov't as a big machine and she is a part of all that/More about integrity and dishonesty in gov't and I feel this has not been her strong suit, been caught in a lie multilpe times and I can't always see that/I don't always agree with all her policiies/"
300473,
300475,"I don't trust her at all//She got rich in politics, and I don't believe thst anyone should get rich n politics, and I think we need something different"
300477,she's a lier/criminal/
300482,
300488,not impressed //dont agree with some of the stuff she is doing. zi think she is kind of a manipulator//
300493,
300495,
300497,
300499,It just seems like her political past shades her character.//
300500,gun issue
300501,lots/dishonest/she's all for self//
300503,"Yes, she's corrupt.//Um I think her stamina.//What else.? I think that is it.//"
300504,"I just don't understand that 33,000 deal and everyone clapped about it. It just didn't feel right. What Bill did didn't matter. //"
300517,Health concerns and integrity//
300518,Supreme court judges. \\ No trust.
300522,"I think she is dishonest she is a liar, I basically, wshatever she has done she is in it for the power, as a woman sdhe has put up with her forlandering husband, not respect for the woman//"
300526,I am afraid she will stay the status quo and we are on a downhill flow//
300534,I don't agree with her stances on government spending
300540,WHAT SHE HAS DONE WITH THE CLINTON FOUNDATION//
300541,
300542,
300543,dishonesty//
300545,
300546,she has trouble with the truth//she is ah geez shes involved in a conflict of interest by being a memeber of the Clinton foundation while serving in a government position//she totally disregards the rules about handling classified information//she operates only on a polictical level//she is amoral//her husband will be int he whitehouse and hes been impeached already//she treats the little people like garbage//
300547,
300549,EVERYTHING ABOUT HER DO NOT MAKE ME WANT TO VOTE FOR HER//
300552,Lies//
300554,
300555,don't trust her//
300558,
300559,Her stand on guns. second ammedment. Making NRA her enemy is automatically is no brainer//cant seek voting for anyway. want to throw something at the tv everyting she comes on
300561,democrat dont respect her very much
300565,"HER RECORD OF BEING UNTRUTHFU NOT FULL DISCLOSURE, THATS THE MORE SIGNIGICANT THAN ANYTHING ELSE, THE ABORTION ISSUE IS THERE ALSO//"
300566,
300569,"I believe she is cofrrupt cant be trusted, uhm I think she is got her own interests over the country's//I think that the uh there hass been very disturbings are and the Clinton's fundation are ah a means for them to get wealthy and to carry favor for friend and family.  i am against her views in manu social issues and progressive ideologists//"
300571,"I think her focus is on Hillary Clinton.  She's more focused on herself than on this country.  Her charity contributes to Hillary more than to the people for whom it is intended.//I don't like her as a person.  Because she has been in politics so long, I think she has a track record, and I don't think it is a good one.//"
300572,"She is not truthful and she is the wife of Bill Clinton, they are both 2 peas of the same pond//"
300574,She has a very bad reputation and she is not honest and she is a crook and a thief. //
300575,I like Donald Trump better I like his motives
300578,
300581,"right now in this election coming up? No, nothing, it's kinda of like I don't have a choice.//No we have no other choice. Our hands are tied. We want a president that has experinence and politcal knowledge. She is the only one that has experience and such and she is intelligent . I think she is a very intelligent woman and candidate. Don't say woman,... candidate.//"
300583,"I wouldn't say it would make me want to vote against her, because it's true about most presidential candidates. I think it's unfortunate that she has so much wealth. //"
300586,"her past issues with watergate, benghazim and emails and the stupid things shes done"
300587,
300589,"lied about Benganzi, lied about emails, being an [REDACTED DETAILS] I know how her and family treat military families//"
300597,"Lack of trust, she does not seem to care security very seriously.//I also get the feeling she does not think the rules apply to her.//"
300600,question her ethics/ /
300601,
300603,"She's dishonest//She lies about anything when she opens her mouth// She gave 20% of our uranium rights to Russia.  She did not support the Benghazi people when they were there.  She turned her back on them and as a reuslt four of them got killed.  And then she turned around and lied about it in a video//She has lined her pockets by using her public office to the millions and pretending to be a philantropic organization and lined her pockets.  And example would be Tahiti//everything she touches is a disaster mainly because of her greed, dishonesty and outright lying.  Whatever benefits her.  She'll lie about anything to benefit her//She doesn't give a damn about America or the people in it.  It's all about her.  She will sell America out at any cost to line her own pocket//"
300605,SHE ANTI AMERICAN// SHE S A LIAR// SHES A DECEIVER// THERES OBVIUOS A LIAR WITH THE EMAIL// SHE SHOULD BE BROUGHT UP ON TREASON// SHES UNTRUSTWROTHY//
300609,"I just have a feeling, I think she's dishonet//The big scandal!//I was pro Bill Clinton.  He had the deficit totally paid off and they did a lot of great things, but I think there's too much dishonesty.// The Whitewater thing really got to me.//"
300610,
300611,
300612,
300614,HER HONESTY IS THE MAIN THING// SHE HAS HISTORY OF THE LYING//I DONT THINK SHE HONEST//
300617,issues on stand for abortions and some of the things that she sdtanfs that i dont agree with.
300620,
300621,Past history and contoversies like her emails and I dont agree of her views on a lot of the topics and issues right now.
300622,I do not trust her.And I dont trust her because I trust her to be a politician.//
300628,there is just a lot of unanswering questions//she is just not providing answers to questions
300629,
300632,
300633,CONCERN ABOUT THE COUPLE OF BIG SCANDALS THAT HAVE SURFACED IN THE PAST//
300634,the past circumstances against obama she whined
300636,I was not a fan of her husband when he was in office. So they are closely tied together. //
300637,
300638,"transparency. trustworthyness, //"
300641,
300642,NEEDS TO STAY OFF THE PHONE
300644,The constant lying. The emails. And the one I strongly feel about it is the issue that happened in Bengazi.\\
300655,
300656,the democratic platform is for abortions and same sex marriages the way i understand it//
300657,Not very trustworthy.//
300658,"As a [REDACTED DETAILS], in my opinion she seems to have a flamboyant disregard for the situation in Bengazi where several soldiers lost their lives, and she said what does it matter? I couldn't believe somebody could say that //"
300660,just never liked her//before her husband was even president//
300663,pathetic liar her personality im a little bit better than u people they are so crooked nd extremely rich people she is buying votes//
300674,
300675,All the scandals surrounding her. The fact that she seems to be dishonest a lot of the time.
300676,
300677,"Her husband was in the White House once, I don't think we need the same mistakes made again. // Her honesty is not there. //"
300679,
300680,//she wants to protect the children but gives okay for abortion
300687,lied
300693,She wants to make abortions legal longer.//
300694,
300695,"When she used to be a lawyer , she defended a guy for doing something to a minor. She got him Off the charge and then later on when asked about it, she laughed about it.//I don't like how un forthcoming she's been about BENGAZHI and everything. That gives me a few questions on her ability to be a good President."
300696,"abortion gay marragies, bengazi, i dont trust her//she has in there too long and to crooked"
300699,Trustworthiness//
300702,email scandel
300703,"her scandales and all the controversay surrounding her suchas email, benghazi, and being a Christian she is prolife and she wants to fund abortion"
300704,TRANSPARENCY
300705,"i don't trust her, she is extremely liberal, she is pretty much anti gun rights\\"
300706,I dont like the fact that she deleted the emails I dont thnik she always tells the truth and she presents herself in public and different behind doors. She is so entrenched in big business all the money she gets to fund her campaign//
300709,"Yeah, she wants to take our guns away. And you know if that happens the gangsters are the only ones that's gonna have guns and they will just do whatever they want to."
300711,if I was to vote against Hillary it would be because of the scandals and misuse of government privacy//I really don't know if it's true and I don't want to slander her name but if it was true I would vote against her because that's not what a president should do about//
300717,SHE DOESN'T PLAN ON GTTING RID OF OBAMA CARE\\
300719,
300721,
300723,Everything.  Its a list.  I just don't like  her.//
300724,"her record,accusations,suspicion around her"
300726,"its all the lies the email crap, all of the things that shes been into over the eyears and made a killing at it's not ethical and she continues to lie about stuff//"
300727,
300731,
300732,because she is female that is only part i dont like about her
300734,dishonesty
300735,just the way she handles herself the lies and decet//
300736,"She is very liberal, destroying the foundation on theway the US was built on Christianity, there letting all these the muslims come, Clinton is too liberal and doesn't care about the people, and she is a liar//"
300739,
300740,
300743,
300745,"She is a criminal as far as email scandals goes, Bengazi//lot  of people close to her that have myteriously died out of the blue//"
300747,"Use her personal phone for confidential public business//Other countries are giving her Millions for favors in return//I don't think she's trustworthy at all.//I don't like the way she's always making fun of Trump instead of telling us her plans , secret and not (Wickyleaks) to lead the country.//She claims to have been doing things for people but she actually hasn't been doing these things.//"
300749,
300750,mainly the lies\\
300751,
300753,idistrust her dont like policioce
300757,she wants to go  to war with Russia
300759,Her email scandals .  If shes doing that already what is she going to do when she is  president?//
300766,
300768,she is a politican a corrupt politican
300769,
300770,the fact that america has had enough of the Bush's and Clinton's she's been bought and paid for and I don't know where her loyalties lie. I lean towards trump but I'm not voting
300774,Her husband was in office & we would get the same results if she was elected which I was not in favor of//
300775,"She talks around the subject and she ends up not answwering it, I can't stand her mannerisms and her voice,she not telling the people what she's running on, will not answer a plain out question, don't agree with what she did on the emails, shes a crook, dont like what she does with the Clinton foundation I think shes giving favors to other people in other countries//"
300779,
300780,"she is dishonest, everything has a ccure wigth the cell phone she has scourt it that issue, she hasnt give any indication of being honest.  She has her own agenda to gain wealth.  The thing about her being the secretary of statate she hide the bengazzy situation// she said Bengazzy didnt matter, escuse me they were 3 amrian lifes were take"
300784,
300785,she is not prolife//
300789,concern over prior political voting and activities
300790,opening doors to immigrant illegal
300792,"I THINK SHE TENDS TO WALK ABOVE THE LINE AS MOST POLITICANS DO AND SOME ISSUES SURROUNDING HER THE SECRECIES AND EMAILS I DONT AGREE WITH AND DONT LOVE (EMAILS) NOT NY CHOICE,  A TRUST ISSUE AS WELL//"
300795,She's questionable morality//
300796,
300798,judgement
300799,
300807,professional poltiaian/ not trust worthy/ not my promary party//
300808,the latest email scandal// bengahzi//and she is a perpetual liar
300812,";SHE COME OUT SAING THAT SHE IS FOR ALL THE WOMEN, BUT i CANNOT BELIEVE ALL HER PROMISES, THAT IS THE ENDOF IT FOR HER."
300813,cant be trusted
300816,policy on environment sociam issues\\
300819,"Um,I dont think shell be a great president.//"
300820,"i dont trust her\\all the emails and bengazii, it may be a continuation of Obama\\"
300821,
300827,
300831,
300833,
300839,she's the wife of Bill Clinton// some of their previous political dealings I have not forgotten about it//it's hard to avoid hearing in the news about the FBI investigation.
300847,
300850,
300853,"political career, whee washy, //"
300855,not enthusiastic not motivated
300857,"the emails that were deleted\\shes not trustworthy and i dont feel that she connects to people she says one thing and does another, doesn't understand the middle class and what they do need\\i just dont trust her"
300859,they say she did wrong with bengazi but not for sure just knows people were killed
300860,questions about honesty
300864,everything
300869,"Everything about her.  Her lying, I watch the Clinton Cash show, Ben Gazahzi, changing her policies due to lobbyist that support her finiancially and give money to her foundation.//  100 percent untrustworthy and a liar."
300872,
300873,everything lies money grubber
300874,
300875,Ethics. Lack of transparency.//
300881,She will take too much her husband's advicew and he wasn't a good president/Pudin is going to try to groud her into war//
300882,"I'm having a problem with her integrity. As far as the emails, the email controversy that she's involved in and I don't like the socialistic direction that she has taken.//No"
300883,I have some questions about her trustworthness
300885,"Um, I'm unsure of her, How do I put this? Her truthfulness! That's it."
300887,THE LAST 20 YEAR PRO ABORTION IS NOT GOOD
300890,Character.//
300893,She's not trustworthy. Her stent  with the military.//
300895,"The scandals about her server, the E-mails,"
300898,
300900,she is dishonest/never trutsted her/ thinks she is fake
300901,the accusations of dishonesty against her tht she is a career ;politician and she is most likely in the pocket of big business //
300906,
300910,SHE DESTROYES EMAILS AFTE THEY WER SUPOENED//HER VOICE//I THINK ITS WORSE TO LIE THAN MAKE REAH STATEMENTS
300911,"THE REASON I VOTED AGAINST HER IN THE PRIMARY IS BECAUSE SHE LESS CONVICTION THAN BERNIE SANDERS, SHE IS MORE FINANCIALLY TIED TO THE ESTABLISHED INSTITUTIONS AND SHE COULD POSSIBLE TIED TO THEM, SHE DOESN'T SPEAK OUT AS STONGLY AGAINST ISSUES THAT ARE IMPORTANT TO ME//"
300912,"everything dont even know why shes there, if we broke the law like she did I would be in jail"
300916,
300917,The seemingly corrupt nature thay seems to surround her and her family. Its hard to trust someone like that.//
300920,Being a [REDACTED DETAILS] if it turns out that anything from her emails might have led to the Bengazi attack--that might.
300921,"deletion of emails, the Bengazi situation//"
300924,
300925,She is perppetually dishonest.
300926,"she is a liar she is cryptic and she hides things, she is not personable,doesn't seem genuine//"
300927,
300928,SHE SHOULD BE IN JAIL
300930,
300931,
300935,Hard question. If there someone other than trump... at this stage if still in primary would have wanted Bernie which is more aligned with mine but now at the end here she has my vote 100%//I woory about her thinking she is above the law.//
300937,I don't find her very trustworthy.
300940,
300947,bengasti
300953,some of her diecison making bad choices//
300956,She believes in stuff I don't believe in. //
300963,"The whole email situation, but i dont know much about it// more what you see on tv what they wanna show you//"
300968,
300970,"Yeah there is a lot of things. Second ammendment is number one. Immigration, she's soft on that.And , even health care.//No, I just think she's a crooked woman. Im not against her as a woman, It's just.// Not that I think of right off."
300973,
300976,I don't think she is very trustworthy.
300977,She is a liar and thief and maybe worse//
300979,NOT TRUST WORTHY //
300982,tax policy is a big one also some of the stuff around the emails with her home server and the leaked ones from the DNC implying that they tried to convince someone to recategorize those documents during the investigation. so honesty or integrity. //
300983,"The corruption. Clinton Foundation, all kinds of scandals. her integrity. She always lies.//Immigration policy. She's open border person. There's no correct process for refugees.//She's too liberal.//She's against Christianity.//Open border, no borders, President of United Nations not President of US.//She doesn't try to solve racial conflicts, increases conflicts between different races.//She talks a lot, but nothing will be done.//"
300991,pay for play//the clinton foundation// her secrecy//Bill clinton//emails//Ben Gazi//Haiti//Russia//
300994,"Her fakey smile, and her emails, and how she got rich so quick taking money from foreign countries, I think she's a crook, and she's had 30 years to fix all these things that she's promised to fix, if she hasn't fixed them she's not gonna fix them//"
301000,"I know shes talking about bringing the Syrians and I completely understand that they need help and I think I heard they are bringing them to [REDACTED COUNTY NAME] and they'll take jobs from Americans. She needs to help Americans first. With her it is always a deal, she has tro get something in return, probably oil again. //"
301006,
301007,many things//No
301008,
301010,"charter, intergrity,personally I see Hillary Clinton as a used car salesman had no real work experience I'm a businessman if I'm going to hire someone I want them to have real work experience//"
301011,She's an extension of Obama. She will carry out what Obama didn't get done//
301014,she is runnign up with the obama admin and it hasnt done a bit of good in our opinion over the past years//
301018,She's a liar and a murderer. She has no morals for herself. She stayed in amrriage that her husband . She is not a role model. People are voting for just because she a woaman
301019,"she has made some kind of the whole, the gay scene , she has made a few i guess comments that she wasnt pro you know equal right, she made a few anti gay comments. one thing that would make me not, would be her take on her pro life, she is prochoice and I am not for that"
301020,
301023,the lies. I can't stand the lies. Trump is at least honest he stands up for what he believes in hillary is behind on some truth
301024,Just the scandal she was in about the emails.  I just don't like the way she appears to be not truthful on issues that have been in the media.
301026,
301028,"if there was a different candidate, i dont particularly like trump. its all over the internet and facebook, the way he demeans women and things like that"
301030,
301033,"Trustworthy, I don't think she's honest. And then, just her record.//"
301034,
301043,that she will continue obamacare
301045,
301047,she lies//
301049,"She hasn't accomplished anything yet and she hasn't told the truth since she got into office that I can tell/ I wouldn't trust her for anything/Wish she could be a little more honest about her health. She can wear pants, but sooner or later she will have to wear a dress/"
301052,I don't think she is fully truthful on some of the things she has done
301056,The relations with other countries I don't think theyve been very honest or truthful. or in best interest of US.//
301059,
301060,
301061,She doesn't really tell us what she's gonna do as president.  Her main concern is for usually what Donald Trump has done.  She doesn't give us much ideas of what she would do for us//
301064,
301065,
301068,she thinks she is better than everyone else and I think not she has the name and everything
301070,
301071,FACT SHE DISHONEST AND BILL
301073,
301075,i guess all of the news with her emails and trial issues//
301081,HER LIES//
301086,email scandal//
301087,
301089,
301093,Everything that she stands for//
301094,"we can go back to when they were in AK when they were laundering drug money, the body cout of Clinton, all the conspiricy theores are shockingly true, she has different intentions for the US, she is owned by George Soros, my biggest gripe against her is that she sold 20% of our uranium to uranium 1, so from here on out 20% of our uranium goes to the Russians, thats no secret, government land grabs, like in the OR stand off, that was due to the land deal,//this election has been so corrupt on her side, its disgrasefual, she knows that if she doesn't win Trump will seek her out and make her pay for what she has done wrong,i'm afarid Obama will do a state of emergency for all staes, marshall law, and stay in office. there has been too much behind the scences executive order from him that congress hasnt passed off on.. the emails are the least of her worries//"
301096,because of her alledged ethics
301100,"I don't believe in anything she says . She's not truthful. For instance the commander in chief forum. She sounded completely rehearsed and you could see an earpiece in her ear. It didnt sound truthful or from the heart. I can go off about Hilary and Clinton foundation. Her belief and the use of drone strikes. The bengazi scandal. Her 30,000 deleted emails. Her using classified or close to classified for Sec of state on he personal email server. Are you kidding me. I donT care if she is saying Hello. She should be fired. The Clinton Foundation. The coincidences of the Saudi who donated millions of dollars in trade forr political favors. She should be in jail. She has compromised her integrity. She is Secratary of State. She is blasphemy. Everything she has done. And then try to go for President. Are you kidding me. I can't rememer specifics off the top of my head. Any more specifics."
301101,her honesty//she can't be trusted//she's way too liberal//
301103,Not trustworthy//Clinton foundatioin//
301105,Well she is for abortion and she wants to do away with other stuff out there for the American people.//I know she is against the veterans for one.  She doesn't want to help them as much.//
301108,Her pro life policy/foreign policy/
301110,I THINK SHE IS A LIAR. I THINK SHE PULLED SOME CROOKED STUFF THERE AND SHE GOT AWSY WITH IT// IT WOULD HAVE BEEN NICE IF IT HAD BEEN A WOMAN RUNNING THAT WOULD HAVE BEEN HONEST AND IT DEPENDED ON HOW THEY HAD STATED THEIR VIEW//
301111,Because I think all politicions are somewhat dishonest.//
301116,Her dishonesty.//
301117,
301119,
301121,There is a lot about her lying or not telling the truth. That scares me about having her as president and lying and not telling the truth//.
301122,Her previous political affiliations and accomplishments//her federal indictments that she's currently under//policies she's voted for//the change of opinions she's had throughout different policies in her career//her long term political career//as well as the corporate funding that's gone into her campaign//
301125,SHE IS A CRIMINAL//
301129,all the scandals with her emails//
301130,
301131,she is not ready to be a president
301134,
301135,
301139,Her nor quite honesty with er emailing and recent dealings//
301141,"unethicial, criminal, dishonest, liar"
301143,
301144,Everything. I just don't trust her . Too many things about her we can go on and on . I mean Bengazi and her emails.//Everything she says is lies. She iies thru her teeth. I just can't trust her.//
301145,SHE A LIED AND A CHEAT
301146,I do not approve of her views and her metods of candidacy.//Nothing that I can say that's appropriate.
301147,"questioning her honestly, and her connection with wall street//"
301148,
301149,
301150,THE CONFLICT THAT SHE HAS AGAINST HER EMAIL//
301155,if she does anything for social security//
301156,
301158,"because she let those diplomats die and shrugged it off like it was nothing. She just shrugged it off and said they are just storming the place because some movie that was released. she just said it was nothing. And the emails dont help either.// Well Isaid the emails. I really, I dont know if its true but I heard they are encouraging illegal immigrants to come in to vote for her. She is trying for them to get to the polls but the number one reason is she let the diplomats die.//"
